frase	duracao_media_masculino	total_classificacoes_masculino	classificacao_majoritaria_masculino	votos_maioria_masculino	total_positiva_masculino	total_negativa_masculino	total_neutra_masculino	duracao_media_feminino	total_classificacoes_feminino	classificacao_majoritaria_feminino	votos_maioria_feminino	total_positiva_feminino	total_negativa_feminino	total_neutra_feminino	concordancia_grupos
Fico feliz por isso, porque fomos feitos para brilhar.	2.78875	4	negativa	4	0	4	0	4.855499999999999	4	negativa	3	0	3	1	1
Aquele dia na parte da manhã foi torturante, sabia que minha mãe falaria um monte, ela estoura do nada e não para mais, quando briga com meu pai quase bate nele.	2.21575	4	positiva	4	4	0	0	3.604	4	positiva	4	4	0	0	1
Eu disse a ela que isso não faz diferença pra mim, mas sinto que ela não apoia meu namoro.	5.90625	4	negativa	4	0	4	0	11.188500000000001	4	negativa	4	0	4	0	1
Adoro crianças , e as vezes me pareço muito com elas , adoro brincar , pular , enfim... bagunça , adoro coisas alegres e diferentes .	26.332499999999996	4	negativa	3	0	3	1	25.644750000000002	4	negativa	3	0	3	1	1
Hoje é o meu aniversário.	4.28875	4	positiva	4	4	0	0	5.8085	4	positiva	4	4	0	0	1
Meu psicólogo me perguntou se eu queria uma segunda opinião (tanto pra ver a questão da medicação quanto pra ver se eu realmente tinha TPB-personalidade borderline) e eu concordei.	4.7235	4	neutra	3	1	0	3	5.42825	4	neutra	2	1	1	2	1
Meu pai, nunca foi uma figura paterna de verdade, ofuscado pela força da minha mãe.	15.606750000000002	4	negativa	4	0	4	0	7.805250000000001	4	negativa	3	1	3	0	1
O garoto que não tem coragem de chegar em você, tem admirado você a muito tempo de longe, e te conhece bem mais do que você imagina, e muito mais ainda do que o com atitude diz conhecer.	5.76625	4	negativa	4	0	4	0	8.092	4	negativa	4	0	4	0	1
Ao me penetrar foi intenso, foi prazeroso.	580.5205	4	positiva	3	3	0	1	13.70525	4	neutra	3	1	0	3	0
Mas saiba que eu sinto muito a sua falta, sinto falta do teu sorriso.	3.02625	4	positiva	4	4	0	0	40.96399999999999	4	positiva	3	3	0	1	1
Continuo amando assistir desenhos, preferindo ficar a noite toda no computador e sem me importar com o que os outros vão dizer ou pensar sobre mim.	4.3105	4	negativa	2	1	2	1	4.3405000000000005	4	negativa	3	0	3	1	1
odo mundo fica falando que eu vou passar mas eu sei que não.	2.8362499999999997	4	negativa	4	0	4	0	2.679	4	negativa	4	0	4	0	1
Foi maravilhoso, senti a pegada dele transando, era muito mais gostoso.	5.137749999999999	4	negativa	4	0	4	0	5.34425	4	negativa	4	0	4	0	1
Não vem falar alto comigo não, porque ninguém fala alto comigo.	4.73725	4	positiva	4	4	0	0	4.26775	4	positiva	4	4	0	0	1
Agora estou aqui com meus cartões todos tendo que ser parcelados (vou pagar o triplo do valor por conta dos juros), sem nenhum centavo e ainda por cima com o Diego brigando comigo e jogando na minha cara todos os dias que eu sou burra e emprestei o dinheiro pro meu pai.	6.6145	4	negativa	4	0	4	0	7.887	4	negativa	3	0	3	1	1
Nossa união surgiu um garotinha linda que é a minha vida e tem hoje 4 aninhos,	7.878250000000001	4	negativa	4	0	4	0	10.084	4	negativa	4	0	4	0	1
Não venha me dizer que pra servir a Deus tem que ta dentro da tua maldita igreja socando dinheiro no cú do teu pastor ladrão não, e foda-se se você acha que por isso eu vou pro inferno.	4.3107500000000005	4	positiva	4	4	0	0	15.63425	4	positiva	4	4	0	0	1
Atualmente eu estou com 20 anos, e ele vai fazer 29 em Abril, prefiro caras mais velhos, sou feliz com ele e é o que importa.	5.3685	4	positiva	3	3	0	1	7.78125	4	neutra	3	1	0	3	0
Mas há algo nela que min incomodava muito, seu modo de ver a vida, era vulgar, pensava apenas em festas, sair beber, curtir, como se isso estivesse em primeiro lugar nos objetivos dela.	4.58475	4	positiva	4	4	0	0	8.2395	4	positiva	3	3	0	1	1
O relacionamento dela com o meu namorado é ótimo, os dois brincam e eu amo isso.	7.83025	4	positiva	4	4	0	0	11.658249999999999	4	positiva	3	3	0	1	1
Posso tentar parar o vento ou sentar na brisa da primavera posso tentar parar o sol ou fazer com que você tenha um dia perfeito posso tentar e fazer tantas coisas para você, menos que você me ame tanto quanto EU TE AMO.	7.2307500000000005	4	positiva	4	4	0	0	4.8740000000000006	4	positiva	4	4	0	0	1
Na vida precisamos contar com o apoio daquela pessoa que escolhemos para partilhar de todos os nossos momentos.	13.352	4	positiva	4	4	0	0	65.52	4	neutra	2	1	1	2	0
Um brinde a nossa existência, e ao nosso futuro.	3.4722500000000003	4	positiva	4	4	0	0	5.25525	4	positiva	3	3	0	1	1
Mas enfim, sexo é sexo, e isso me relaxa.	2.6870000000000003	4	positiva	3	3	0	1	2.3065	4	positiva	4	4	0	0	1
Eu não sou uma pessoa de contar sonhos ou fatos reais, mas como foi uma experiência de tal proporções que estou abrindo mão.	3.2182500000000003	4	positiva	3	3	0	1	3.47225	4	neutra	3	1	0	3	0
Eu sofri muito por não conseguir tomar o remédio e sofri mais ainda pela brutalidade dos meus pais por não entenderem que quem tem fobia não é frescura.	7.683	4	neutra	4	0	0	4	7.9639999999999995	4	neutra	4	0	0	4	1
Agradecemos cada vez mais as sugestões enviadas e estamos trabalhando por um diário cada vez melhor!	3.9935	4	negativa	4	0	4	0	6.4735	4	negativa	4	0	4	0	1
Seu cheiro ainda está ali de algum modo no meu imaginário.	17.965249999999997	4	neutra	3	1	0	3	11.05925	4	neutra	3	1	0	3	1
Sonho com você a noite inteira e me sinto aflita e insegura por não saber se um dia vou transformar este sonho em realidade.	3.0527499999999996	4	positiva	3	3	0	1	25.111	4	positiva	3	3	0	1	1
Estava tudo normal , eu estava ansiosa em vê-lo , fui pra casa dele depois do trabalho , tomei um banho e fomos deitar.	4.7372499999999995	4	negativa	2	1	2	1	6.2932500000000005	4	negativa	3	0	3	1	1
Eu não consigo pensar nele sem dar uma risada!	5.12725	4	neutra	3	1	0	3	5.86675	4	neutra	3	1	0	3	1
E assim passou mais um mês, não comia, não vivia, vegetava, e ao final do dia vomitava, a Helen se trancava no mundo de contas usando meu cartão, também já não estava se importando com nada.	2.9015000000000004	4	positiva	3	3	0	1	3.19975	4	positiva	4	4	0	0	1
E todos os dias olharei para céu e agradecerei por ter te encontrado e por você ter sido mais do que eu esperava vou agradecer pelo seu olhar.	7.15025	4	negativa	4	0	4	0	8.92625	4	negativa	4	0	4	0	1
Ontem eu tive uma noite maravilhosa com meu marido.	5.559	4	positiva	4	4	0	0	8.27375	4	positiva	3	3	1	0	1
Hoje cheguei lá era umas 7 horas, ele veio sorridente disse as coisas que tinha que fazer, e de aparelho em aparelho ele vinha e me falava alguma coisa.	2.299	4	positiva	4	4	0	0	3.3217499999999998	4	positiva	3	3	0	1	1
Sou casada, feliz no casamento, tenho um bom emprego onde conheci uma pessoa.	138.05075	4	neutra	3	1	0	3	9.34075	4	positiva	3	3	0	1	0
Era seminário, prova e trabalho tudo junto, eu tava pra ficar louca mesmo, ainda mais eu, que detesto falar em público.	7.109499999999999	4	neutra	3	1	0	3	6.04375	4	neutra	4	0	0	4	1
Amei o remédio até agora.	3.94825	4	positiva	4	4	0	0	6.1587499999999995	4	neutra	3	1	0	3	0
Eu não aguento mais as nossas brigas, elas me deixam em um estado que eu não sei nem explicar em palavras.	1.6252500000000003	4	positiva	4	4	0	0	2.2407500000000002	4	positiva	3	3	0	1	1
Ela me recorda tantas coisas lindas, é como se ela fosse cúmplice dos amantes, dos apaixonados e às vezes fico a observá-la e sinto uma paz muito boa.	2.79575	4	negativa	4	0	4	0	4.10825	4	negativa	4	0	4	0	1
O nosso primeiro final de semana chegou, fiz a feira, preparei o almoço, lavei roupa, nossa estava tudo tão gostoso, e ela tão feliz, apesar de tudo ela sempre me falava que estava feliz, e pedia todos os dias para eu me casar com ela.	3.1947499999999995	4	positiva	4	4	0	0	7.705	4	positiva	4	4	0	0	1
É meia noite agora, vou assistir alguma minissérie, iludir-me com a esperança dos finais felizes que sempre existem nela, e esperar que um dia tenho um final feliz só meu.	65.6545	4	positiva	4	4	0	0	13.39075	4	positiva	3	3	0	1	1
E já até andei me machucando de levinho novamente, apesar de nunca ter parado, a rigor.	7.774249999999999	4	negativa	2	1	2	1	9.13875	4	negativa	2	1	2	1	1
Ela sai com as amigas, sai com os garotos.	6.739750000000001	4	negativa	4	0	4	0	5.6419999999999995	4	neutra	3	0	1	3	0
Eu ainda me lembro de tudo que vivi com você, e tenho saudades daquelas nossas noites em que você me contava suas alegrias e agonias.	6.10925	4	neutra	3	1	0	3	4.3675	4	neutra	4	0	0	4	1
Quem eu mais esperei que fosse lembrar, não lembrou.	26.585500000000003	4	positiva	3	3	1	0	6.621999999999999	4	positiva	3	3	0	1	1
Viajar com amigos, sem nenhum familiar por perto foi a melhor coisa que já fiz.	3.80825	4	negativa	3	0	3	1	4.5565	4	negativa	4	0	4	0	1
Por que não sou bonita, por que sou uma tonta, porque não sou do jeito que minha mãe quer que eu seja, não sou como minha família querer que eu seja.	5.76025	4	positiva	4	4	0	0	3.47225	4	positiva	3	3	0	1	1
Passei a não sentir mais a tua falta passei a não chorar mais por você pois o amor de minha mãe me preenchia e afogava toda a minha dor.	14.0405	4	negativa	4	0	4	0	6.071999999999999	4	negativa	4	0	4	0	1
Acho que viver um romance é muito mais legal que apenas um lance.	3.118	4	positiva	4	4	0	0	4.939	4	positiva	3	3	0	1	1
Na páscoa, lá estávamos nós, no mesmo ano, sozinhos em casa de novo.	4.4235	4	positiva	4	4	0	0	4.8865	4	positiva	3	3	0	1	1
Mas eu ainda assim, sei que se eu simplesmente fosse brincar com você, como sempre, você esqueceria de tudo, e me animaria, como você sempre fez.	9.1495	4	positiva	3	3	0	1	8.60875	4	positiva	3	3	0	1	1
Correr pela rua, voltar pra casa toda suja de terra, brincadeiras de pique-esconde , policia e ladrão, pique-pega.	9.11825	4	positiva	3	3	0	1	6.359250000000001	4	positiva	3	3	0	1	1
Carnaval passado teve uma comemoração na escola, estavam todas as turmas reunidas, eu preferi ir ler um livro na biblioteca, lá estava o professor de músicas mais uns três alunos rockeiros também.	8.44125	4	negativa	4	0	4	0	3.8657500000000002	4	negativa	3	0	3	1	1
Antes de fazer a prova de história, nós rezavámos essa oração e eu rezo até hoje já faz 3 anos que eu não vejo a professora que nós ensinou essa oração mas eu gosto muito dela.	6.475499999999999	4	neutra	3	1	0	3	6.0752500000000005	4	neutra	3	1	0	3	1
O ponteiro das seis bateu, e o táxi estava a me esperar, entrei dentro de casa novamente, esperando que tudo fosse um sonho.	24.633499999999998	4	positiva	4	4	0	0	24.3075	4	positiva	3	3	0	1	1
Estava aqui em casa eu e um grupo de amigas olhando umas músicas na internet, só a gente, meus pais e meu irmão tinham saído, fui vim no meu quarto pra pegar alguma coisa.	7.273	4	neutra	3	1	0	3	8.6895	4	neutra	3	0	1	3	1
Quase dois meses me fizeram ter uma rotina, muito louca, mas uma rotina legal.	6.227	4	neutra	3	1	0	3	17.922	4	neutra	4	0	0	4	1
Eles foram maravilhosos comigo, me apoiaram e me ajudaram em tudo.	3.72425	4	positiva	3	3	0	1	5.23575	4	positiva	3	3	0	1	1
O povo até olha e não acredita que somos namorados.	1.86475	4	positiva	4	4	0	0	3.3712500000000003	4	positiva	4	4	0	0	1
Não melhorou a situação meu pai me ver chorando e começar a berrar para de chorar, que coisa infantil e brigar comigo, me xingar de tudo.	4.86	4	neutra	3	1	0	3	4.32925	4	positiva	3	3	0	1	0
Preocupa-se muito pouco com a opinião alheia.	5.42675	4	negativa	4	0	4	0	12.24875	4	negativa	4	0	4	0	1
De verdade, eu não tenho ânimo pra me arrumar, pra cuidar de mim, os pensamentos ruins tomam conta da minha cabeça e eu entro em estado de desespero.	4.404249999999999	4	positiva	4	4	0	0	4.9559999999999995	4	positiva	2	2	1	1	1
Chegando lá, Helen me recebeu com um sorriso, mas alguma coisa em seu olhar estava diferente, logo me disse que a Erika estava lá com uma amigas desmontando os moveis.	4.71	4	negativa	4	0	4	0	6.29775	4	negativa	4	0	4	0	1
Confirmei e fiquei aguardando a hora.	20.344	4	neutra	3	1	0	3	30.98775	4	neutra	4	0	0	4	1
Na ultima consulta psiquiátrica, ele quis me dar um neuroléptico ( recusei na hora, engordar tô fora) e no retorno ele sugeriu um estabilizador de humor.	2.54225	4	neutra	3	1	0	3	2.7367500000000002	4	neutra	4	0	0	4	1
Até que de repente minha irmã levanta e começa a chorar que nem uma louca.	7.577249999999999	4	neutra	3	0	1	3	8.463000000000001	4	neutra	3	0	1	3	1
E aqueles bicos ficam cada vez mais duros, provocando uma excitação impaciente, meio nervosa, de molhar-se de tão ansiosa.	3.7329999999999997	4	negativa	4	0	4	0	4.56625	4	negativa	4	0	4	0	1
Foi uma delicia viu, fazer amor no carro é muito gostoso, e melhor quando menos esperamos.	6.55875	4	positiva	3	3	0	1	5.5075	4	positiva	3	3	0	1	1
Ela pode até ficar meio sem jeito, mas, se a conversa dos dois havia sido agradável para ela, com certeza ela irá aceitar o convite;	2.92375	4	positiva	4	4	0	0	5.5935	4	positiva	4	4	0	0	1
TODA VEZ QUE MEU CUNHADO VEM EM CASA ELE DÁ UM GEITO DE FICAR SOZINHO COMIGO.	14.8725	4	positiva	3	3	0	1	14.20825	4	positiva	3	3	0	1	1
Não estou nem ai em parecer ser o bom filho, sendo que você é uma péssima mãe.	6.0889999999999995	4	neutra	3	0	1	3	5.70825	4	negativa	4	0	4	0	0
Eu insisti e eu mesma fui comprar a camisinha na farmácia.	4.0875	4	negativa	4	0	4	0	5.6080000000000005	4	negativa	4	0	4	0	1
Queria tanto que as coisas tivessem sido diferentes, mas infelizmente o senhor mudou o rumo de nossas vidas para sempre.	3.3195	4	neutra	3	1	0	3	4.287	4	neutra	3	0	1	3	1
Tá no coração e na alma, e sei que você olha por mim, pequeno.	5.5344999999999995	4	negativa	4	0	4	0	6.10075	4	negativa	4	0	4	0	1
já magoei minha esposa de tantas formas, que sequer tenho coragem de ligar para ela, mesmo achando que pode estar em um motel com alguém.	4.011	4	positiva	3	3	0	1	5.27525	4	positiva	2	2	1	1	1
Agora depois de três anos me vejo em frente ao lavabo, não fiz nenhum tipo de força simplesmente vomitei como nos velhos tempos.	5.78275	4	negativa	4	0	4	0	7.731	4	negativa	4	0	4	0	1
O pior de tudo , foi q ele terminou comigo, alegando que eu não podia ficar ate as 4 da manha na rua	7.38425	4	negativa	3	0	3	1	13.89925	4	negativa	4	0	4	0	1
Adoro eles pois são muito legais e divertidos, adoramos rir e fazer brincadeiras.	5.5605	4	negativa	3	1	3	0	10.339	4	negativa	3	0	3	1	1
Mas entre ser sua amiga ou uma conhecida eu prefiro mil vezes ser sua amiga sinto falta de nossos papos, risadas, brincadeiras enfim sinto falta de vc na minha vida!	3.7385	4	positiva	4	4	0	0	3.76925	4	positiva	3	3	0	1	1
Bom, nesses dias, eu sempre sinto sua falta.	30.681749999999997	4	positiva	4	4	0	0	14.6755	4	positiva	3	3	0	1	1
HOJE COMO TÁ CHOVENDO EU FIQUEI DEITADA NA CAMA, POIS ELE VEIO DE MANSINHO E SENTOU AO MEU LADO, ATÉ AI TUDO BEM.	7.97275	4	positiva	3	3	1	0	8.14425	4	positiva	3	3	0	1	1
Gostei do querido diário é um site muito legal as pessoas expressam os seus sentimentos.	3.84125	4	neutra	4	0	0	4	4.5685	4	neutra	4	0	0	4	1
Com certeza eu não vou ser uma das 24 pessoas que mais acertaram!	4.85925	4	positiva	3	3	0	1	4.3325	4	positiva	3	3	0	1	1
E, então, Penélope passou a primeira camada de cera quente na minha virilha virgem.	4.762499999999999	4	negativa	4	0	4	0	4.0272499999999996	4	negativa	3	0	3	1	1
Acordo bem mais disposta.	6.17	4	neutra	4	0	0	4	6.0265	4	neutra	3	1	0	3	1
Ficamos juntos por 4 anos e eu o amava mais que tudo, ele foi o primeiro em minha vida para tudo, eu não fazia nada sem ele e estávamos sempre juntos.	2.4285	4	negativa	4	0	4	0	2.84725	4	negativa	3	0	3	1	1
Namorei com um menino chamado Luan, ele é 3 meses mais novo que eu, e talvez meu erro já tenha sido começar assim, pois a mulher amadurece primeiro que o homem.	8.977500000000001	4	positiva	3	3	0	1	7.7485	4	neutra	3	1	0	3	0
Sempre foi bem difícil eu me enturmar com as pessoas.	7.834999999999999	4	negativa	3	1	3	0	8.42175	4	neutra	3	0	1	3	0
Começo a lembrar das minhas agressões e humilhações e fico mal.	2.4747500000000002	4	negativa	4	0	4	0	2.2335	4	negativa	4	0	4	0	1
Segunda haveria um sexo bem gostoso na cama.	2.1765	4	negativa	4	0	4	0	3.072	4	negativa	4	0	4	0	1
Prometo te amar ate o fim da minha vida, ate meu ultimo suspiro, ate a ultima batida do meu coração, ate a ultima lagrima do meu rosto.	3.755	4	positiva	3	3	0	1	2.9917499999999997	4	positiva	3	3	0	1	1
Fala de uma quase adolescente (quase porque ela ainda ta se formando e tals) meu Deus.	15.178249999999998	4	positiva	4	4	0	0	5.40825	4	positiva	3	3	0	1	1
Minha insônia atingiu um nível crítico e finalmente eu resolvi ir para o psiquiatra pra ver o que ele podia fazer.	7.500250000000001	4	neutra	3	1	0	3	9.42275	4	neutra	4	0	0	4	1
Separou do marido e não aguentou!	8.786999999999999	4	positiva	2	2	1	1	4.704	4	negativa	2	1	2	1	0
Estou sempre disponível para ajudar meus amigos, meus verdadeiros amigos e a quem precisar.	9.8975	4	positiva	2	2	1	1	7.4655000000000005	4	neutra	3	1	0	3	0
Eu e meu medo de tomar remédios novos, com medo de me dar alguma reação colateral ou algo do gênero.	3.614	4	positiva	4	4	0	0	7.314	4	positiva	4	4	0	0	1
Brincar de golzinho com meu irmão mais velho .	7.5035	4	positiva	3	3	0	1	4.8759999999999994	4	positiva	3	3	0	1	1
Era o aniversario dele, e eu queria fazer algo diferente.	2.34325	4	positiva	3	3	0	1	3.7909999999999995	4	neutra	3	1	0	3	0
Eu, uma amiga e a família dele, que família maravilhosa, todos brincalhões, unidos, amorosos.	1.88325	4	positiva	3	3	0	1	2.76775	4	positiva	3	3	0	1	1
Minha vida e cheia de alegrias e tristezas mas eu amo viver minha vida.	2.883	4	positiva	4	4	0	0	4.78075	4	positiva	4	4	0	0	1
Ultimamente meus instintos de sexo e agressividade andam muito aflorados.	3.40975	4	positiva	4	4	0	0	4.2425	4	positiva	3	3	0	1	1
Foi a coisa mais linda a formatura dessa minha afilhada.	5.09475	4	positiva	2	2	1	1	5.64975	4	positiva	2	2	1	1	1
Mas é inevitável perceber a tristeza no olhar deles.	2.1217500000000005	4	positiva	4	4	0	0	3.22675	4	positiva	4	4	0	0	1
Fico pensando o que eles estão esperando para se separar e acabar logo de vez com esse sofrimento.	8.1005	4	negativa	4	0	4	0	3.70075	4	negativa	4	0	4	0	1
Você foi, é, e sempre será minha guerreira, a senhora não perdeu pro câncer, mas o câncer perdeu pra ti minha guerreira.	6.7219999999999995	4	negativa	4	0	4	0	5.159	4	negativa	4	0	4	0	1
Eu fiquei muito triste porque eu gostava muito dele e estava disposta ai fazer tudo por ele ai as lagrimas cairam sem controle então eu contei tudo pra minha amiga ela esta me ajudando muito.	5.081999999999999	4	positiva	3	3	0	1	2.9215	4	neutra	3	1	0	3	0
E fiquei particularmente atraída por cenas de sadomasoquismo	7.402	4	negativa	3	0	3	1	10.6355	4	negativa	3	1	3	0	1
Eu só sei que agora estou melhor ,e sabe o que mais me surpreendeu, o fato de essas palavras virem dela.	4.86025	4	negativa	2	1	2	1	6.015499999999999	4	negativa	3	0	3	1	1
Ontem, eu estava com a minha melhor amiga na sala de aula, eu cheguei atrasada e conversei um pouco com a minha melhor amiga.	7.544500000000001	4	positiva	4	4	0	0	5.639	4	positiva	2	2	1	1	1
É uma escova de dente de viagem que pode ser que minha mãe tenha esquecido quando veio levar suas coisas	1.92725	4	positiva	4	4	0	0	3.1002500000000004	4	neutra	3	1	0	3	0
Meu coração partiu em milhões de pedaços, comecei a chorar na hora, ele pediu para eu não chorar, e falou que também é difícil para ele.	7.54575	4	neutra	3	1	0	3	5.0367500000000005	4	neutra	4	0	0	4	1
Ano passado foi tudo muito perfeito e esse ano, nenhum pouco.	4.03175	4	negativa	4	0	4	0	5.05875	4	negativa	4	0	4	0	1
Tende a ser ciumento e possessivo, o que é um grande defeito.	3.8545	4	negativa	3	1	3	0	14.018	4	negativa	3	0	3	1	1
Sei que foi sem querer mas eu tenho a obrigação de prestar mais um pouco de atenção.	2.8442499999999997	4	negativa	4	0	4	0	3.3715	4	negativa	3	0	3	1	1
Marcamos e lá estava ela me esperando no estacionamento.	6.37075	4	negativa	3	0	3	1	5.93375	4	negativa	3	0	3	1	1
Já haviamos marcado por celular no domingo.	17.612750000000002	4	neutra	4	0	0	4	3.0757499999999998	4	neutra	3	1	0	3	1
Porque agora eu sei que é você quem meu coração realmente escolheu, que é você por quem vou lutar ate o infinito e desejarei a todo o momento em todos os sonhos em todos os desejos em todas as minhas orações.	2.48425	4	neutra	4	0	0	4	2.47825	4	neutra	3	1	0	3	1
Eu simplesmente pensei Ele não vê que eu acabei de perder tudo que eu tinha?	6.99625	4	positiva	4	4	0	0	11.766000000000002	4	positiva	4	4	0	0	1
O que estou sentindo por ti é algo que nem eu mesma consigo explicar, tentei me envolver com muitos, tentei te esquecer de várias maneiras, mas não consigo, é mais forte do que eu.	3.94675	4	negativa	4	0	4	0	4.782500000000001	4	negativa	4	0	4	0	1
Acho que não vou passar pro ITB, muito menos pra FIEB.	4.22675	4	positiva	3	3	1	0	4.9875	4	positiva	3	3	1	0	1
Na da FIEB tenho menos chances ainda.	4.2725	4	negativa	3	0	3	1	4.7909999999999995	4	negativa	4	0	4	0	1
Eu fiquei POSSESSA!	2.8605	4	negativa	4	0	4	0	2.98825	4	negativa	3	0	3	1	1
Todo mundo fica falando que eu já passei, mas eles não se tocam que eu escolhi o curso mais concorrido!	1.94225	4	negativa	4	0	4	0	4.766500000000001	4	negativa	4	0	4	0	1
Descobri também que ele estava traindo minha mãe com minha tia.	8.101	4	neutra	3	0	1	3	5.52375	4	negativa	3	0	3	1	0
Me lembro que eu comia muito na escola, para não ter que comer em casa, e tomava banho escondido, era muito triste.	3.8084999999999996	4	negativa	4	0	4	0	8.89775	4	negativa	4	0	4	0	1
A aula de português estava chata.	5.30575	4	negativa	4	0	4	0	8.7785	4	negativa	4	0	4	0	1
Depositamos tanta confiança e tanto sentimento nas pessoas.	2.1362500000000004	4	negativa	4	0	4	0	3.01775	4	neutra	3	0	1	3	0
Quando li essa mensagem eu pensei vou ligar para ele e ver como ele está, e tenta adianta oq ele quer fala comigo.	3.6585	4	neutra	3	0	1	3	21.54225	4	neutra	3	0	1	3	1
Meu marido em 10 anos não consegue colocar nada pra dentro de casa as contas estão atrasadas a geladeira vazia, ele é preguiçoso!	15.194500000000001	4	neutra	3	1	0	3	8.069	4	neutra	3	0	1	3	1
Hoje me senti muito só e ao invés de chorar, como sempre, me automutilei.	4.313750000000001	4	negativa	4	0	4	0	6.68675	4	negativa	4	0	4	0	1
Quando eu tinha três anos fui morar na casa de uma tia, pois minha mãe não tinha condição de me criar.	3.7495	4	negativa	4	0	4	0	5.521999999999999	4	negativa	4	0	4	0	1
Me prendo a memórias por que muitas delas não voltam, muitas pessoas mudaram, mas as memórias não.	3.5765000000000002	4	negativa	4	0	4	0	11.25575	4	negativa	4	0	4	0	1
O pior e quando nos apegamos aquela pessoa e ela vai embora, sem saber que a que ficou esta cada vez, mas apaixonada, que não consegue imaginar sua vida sem ela, e falamos a vida segue, mas uma parte nossa ela leva com as pessoas que passam.	7.977250000000001	4	neutra	3	0	1	3	6.6217500000000005	4	negativa	2	1	2	1	0
Mas sabe, é estranho pensar que isso seja natural, eu me sinto completamente mal por ele demonstrar interesse por outras, considero falta de respeito.	11.88225	4	negativa	4	0	4	0	14.309999999999999	4	negativa	4	0	4	0	1
Ele me confidencia que você foi a boca que ele mais gostou de beijar.	15.67075	4	negativa	4	0	4	0	58.390750000000004	4	negativa	4	0	4	0	1
Ontem a noite quando eu cheguei do curso e ia jantar eu senti uma dor daquelas que sempre sinto na perna minha perna paralisou a Fernanda me levou para a sala meu pai estava jantando, quando fui para a sala comecei a me tremer e a sentir uma tontura e um zunido no ouvido seguido de uma dormência nas mãos.	3.5694999999999997	4	positiva	3	3	0	1	6.411	4	positiva	3	3	0	1	1
Mas não foi o que aconteceu e hoje em dia nem amigos somos mais uma amizade de mais de cinco anos acabou assim.	8.77925	4	negativa	3	0	3	1	16.7445	4	negativa	4	0	4	0	1
E quando eu acordo, não passo o dia feito lesa.	5.5615	4	negativa	4	0	4	0	6.7532499999999995	4	negativa	4	0	4	0	1
Muitos acham que eu estou errada, e que estou falando inúmeras bobagens, ao dizer que existe um grande ódio presente em mim.	4.766	4	positiva	3	3	0	1	5.3892500000000005	4	neutra	3	1	0	3	0
Fechei a porta, a Helen me olhava assustada, não disse nada só me direcionei para o banheiro, liguei o chuveiro, entrei com roupa e tudo, as lagrimas se misturavam com a água do chuveiro, a porta se abre.	6.699499999999999	4	negativa	4	0	4	0	8.74475	4	negativa	3	0	3	1	1
No armário sobrou uma coisa e não sei se é sua.	6.1122499999999995	4	negativa	4	0	4	0	9.2045	4	negativa	4	0	4	0	1
Fico pensando , como vai ser quando eu começar a fazer faculdade , me casar , ter filhos.	3.31875	4	neutra	4	0	0	4	5.92525	4	neutra	3	0	1	3	1
E meu namorado estava de bermuda jeans, uma polo, e um tênis da oakley que o pé esquerdo esta sem cadarço, todo rasgado, sujo.	4.466	4	neutra	4	0	0	4	6.132	4	neutra	3	1	0	3	1
A minha mãe disse que estou muito rebelde!	5.4365000000000006	4	negativa	3	0	3	1	8.525500000000001	4	negativa	3	0	3	1	1
Aí ela veio dizendo que estava horrível, que eu não sabia fazer nada direito, que meu curso não vale de nada e que as outras pessoas fazem melhor que eu.	5.694	4	negativa	3	0	3	1	19.91525	4	negativa	4	0	4	0	1
Não vou falar da tragédia de Santa Maria, pois só em pensar me da vontade de chorar, bom vou terminar agora, depois da escola eu venho contar mais!	5.183	4	negativa	4	0	4	0	7.7415	4	negativa	4	0	4	0	1
Preciso de bons curativos, que não sejam eternos, afinal nada é para sempre, mas, que não sejam descartáveis.	5.273	4	negativa	4	0	4	0	7.0785	4	negativa	3	0	3	1	1
É muito bom ter uma pessoa que você ama ao lado.	6.663500000000001	4	neutra	3	1	0	3	21.58975	4	neutra	3	0	1	3	1
Quanto aos sintomas do TOC, continuam bem chatinhos.	2.3049999999999997	4	positiva	4	4	0	0	3.5144999999999995	4	positiva	3	3	0	1	1
Tava cheio hoje e isso é um saco, demora mais.	2.8440000000000003	4	positiva	4	4	0	0	2.10525	4	positiva	3	3	0	1	1
Saímos e fomos no horario de trabalho para um motel chamado Beira Rio, proxímo de nosso trabalho.	2.6115000000000004	4	negativa	4	0	4	0	3.4859999999999998	4	negativa	3	0	3	1	1
E me lembro também, como você conseguia aplacar a minha dor.	5.35425	4	neutra	3	1	0	3	7.757	4	neutra	3	1	0	3	1
Pior é que eu gostei dele também.	6.64475	4	neutra	3	1	0	3	11.707749999999999	4	neutra	3	1	0	3	1
Ela teve 5 filhos e nenhum teve pai.	2.9455	4	neutra	4	0	0	4	3.7357500000000003	4	neutra	3	1	0	3	1
E foi assim até 5 da manhã, quando eu finalmente resolvi ir dormir.	6.3055	4	negativa	4	0	4	0	3.734	4	negativa	3	0	3	1	1
Sem contar que as nossas mensagens varavam madrugadas e sempre terminavam no mesmo assunto, sexo.	3.5765	4	neutra	4	0	0	4	4.21975	4	neutra	4	0	0	4	1
Esse é um local de muitos desabafos e eu me sinto meio mãezona de muitos que escrevem, pois sou mais velha que boa parte das meninas aqui.	3.3975	4	negativa	4	0	4	0	5.083499999999999	4	negativa	4	0	4	0	1
